label	content
greet	你好
greet	您好
greet	hi
greet	hello
greet	您好，在吗？
greet	在么
greet	喂，你好
greet	小笨，你好
greet	小笨，在吗
greet	嘿，小笨小笨，在吗
greet	在吗在吗
greet	hello，小笨小笨
greet	喂，你是小笨吗
greet	我来咯
goodbye	拜拜
goodbye	再见
goodbye	好的，再见
goodbye	拜
goodbye	知道了，再见
goodbye	退出
goodbye	结束
goodbye	你可以滚了
goodbye	小笨，再见
goodbye	笨笨，拜拜
goodbye	小笨，白白
goodbye	再见咯
goodbye	你可以滚了
goodbye	bye
weather	用着摄氏度显示天气
weather	天气
weather	我最近的天气是不是很冷
weather	摄氏度天气预报
weather	最近天气怎么样
weather	小笨，杭州天气
weather	明天杭州天气怎么样
weather	天气是不是很热
weather	明天要下雨吗
weather	为什么天气那么寒冷
weather	告诉我明天上海的天气
weather	今天天气好凉快
weather	明天要穿外套吗
weather	上海昨天的天气
weather	首都的天气怎么样
weather	下周五杭州天气
weather	下周天气怎么样
weather	小笨明天要下雨吗
weather	小笨，我想查一下天气
weather	北京天气
weather	我想查一下天气
thanks	谢谢
thanks	谢了
thanks	好的，谢谢谢谢
unknown	呵呵呵呵呵
unknown	哈哈哈
unknown	笑死了
unknown	加个微信呗
unknown	123分为服务费
unknown	我饿了
unknown	吃饭了吗
unknown	嘻嘻嘻嘻
unknown	睡觉了
unknown	你是谁啊
unknown	你在哪
unknown	你叫什么名字
unknown	身上
unknown	烦死了
unknown	分为绯闻绯闻否
unknown	想你了
unknown	可以加个微信吗
